# survey2_id x y class1
26 592 98 "Type I"
18 113 396 "Type II"
0 39 488 "Type II"
32 300 38 "Type I"
71 223 270 "Type II"
6 317 796 "Type I"
37 348 156 "Type I"
20 114 74 "Type I"
141 697 799 "Type I"
35 322 129 "Type II"
77 567 686 "Type I"
21 39 83 "Type I"
43 39 21 "Type II"
90 288 458 "Type II"
111 261 538 "Type III"
118 215 706 "Type II"
30 146 381 "Type II"
7 335 747 "Type III"
85 167 439 "Type II"
80 91 603 "Type II"
59 352 20 "Type II"
82 570 302 "Type II"
96 570 83 "Type III"
75 680 773 "Type II"
27 362 658 "Type II"
76 556 452 "Type III"
39 344 386 "Type I"
57 692 506 "Type III"
86 169 256 "Type I"
1 355 569 "Type III"
49 190 526 "Type III"
142 666 161 "Type II"
68 421 162 "Type I"
89 699 792 "Type II"
70 6 791 "Type I"
127 132 523 "Type III"
104 556 785 "Type III"
131 30 270 "Type I"
63 534 491 "Type II"
23 425 207 "Type II"
146 393 538 "Type II"
94 671 583 "Type II"
79 362 59 "Type III"
41 436 429 "Type III"
66 669 656 "Type III"
34 550 604 "Type III"
8 81 308 "Type III"
22 355 519 "Type II"
46 257 590 "Type II"
65 588 26 "Type II"
103 523 685 "Type II"
5 294 561 "Type III"
99 223 198 "Type III"
84 524 386 "Type III"
40 45 348 "Type I"
25 666 692 "Type II"
116 112 535 "Type II"
129 232 377 "Type III"
87 16 557 "Type II"
108 359 526 "Type II"
73 222 152 "Type III"
123 699 733 "Type I"
50 447 205 "Type I"
88 364 454 "Type I"
53 674 272 "Type III"
74 325 235 "Type II"
19 466 739 "Type III"
81 413 520 "Type III"
135 454 677 "Type II"
51 585 725 "Type I"
91 232 500 "Type I"
101 223 116 "Type III"
10 411 385 "Type I"
120 571 343 "Type III"
62 334 583 "Type III"
110 221 394 "Type II"
121 36 63 "Type II"
69 277 716 "Type II"
42 195 720 "Type III"
60 483 71 "Type II"
136 241 788 "Type I"
58 323 273 "Type I"
11 191 319 "Type III"
124 16 337 "Type III"
100 523 365 "Type II"
137 400 494 "Type III"
72 21 606 "Type III"
78 473 165 "Type I"
52 119 543 "Type I"
105 209 10 "Type II"
47 305 300 "Type III"
106 269 728 "Type III"
140 686 101 "Type I"
114 284 424 "Type III"
126 675 391 "Type I"
67 226 778 "Type II"
109 380 213 "Type I"
148 459 690 "Type III"
143 6 87 "Type II"
2 28 552 "Type I"
48 32 400 "Type I"
93 645 587 "Type II"
64 78 45 "Type II"
4 458 671 "Type I"
83 569 462 "Type III"
147 537 591 "Type I"
24 481 309 "Type II"
29 429 85 "Type I"
9 284 91 "Type II"
113 515 659 "Type II"
