id,survey1_id,i,j
0,78,7029,6887
1,33,6099,3952
2,35,9499,4683
3,5,3192,986
4,38,3178,1863
5,41,6052,4440
6,57,2734,4909
7,11,6116,6083
8,2,3568,6944
9,17,9847,3072
10,39,9771,7314
11,20,2203,5406
12,14,1390,6095
13,96,1742,5773
14,98,1925,3124
15,25,619,1327
16,7,1274,5188
17,99,956,2408
18,93,1939,3673
19,86,3953,3291
20,41,968,4033
21,43,9508,5105
22,13,9235,703
23,77,281,574
24,1,6262,5704
25,36,1058,3232
26,68,4293,7848
27,37,5178,5208
28,40,6980,4783
29,61,9200,6924
30,59,1229,2632
31,13,9227,3828
32,88,4585,6732
33,83,8467,3230
34,1,2740,488
35,69,2289,7114
36,16,1239,1347
37,88,5370,3681
38,27,125,7548
39,65,7473,3173
40,34,9400,4589
41,4,5342,1667
42,64,7351,1637
43,39,6638,4114
44,75,6570,7621
45,55,3249,3553
46,35,9110,7761
47,44,7595,6540
48,22,6294,1000
49,46,6527,7446
50,30,5757,850
51,10,1969,1388
52,9,891,5450
53,66,4470,3712
54,13,7175,1367
55,79,9556,821
56,73,8320,454
57,92,9206,1624
58,9,9991,2772
59,75,6812,3726
60,93,7519,7232
61,0,4612,3147
62,4,9710,4089
63,19,1198,4806
64,7,5238,2190
65,42,6089,916
66,75,6257,3986
67,0,7705,2875
68,56,3719,6748
69,63,302,5592
